State/UT,Region,Day_Actual_mm,Day_Normal_mm,Day_Departure_%,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_Departure_%,Period_Category,Date_Day,Date_Period_Start,Date_Period_End
ARUNACHAL PRADESH,EAST & NORTH EAST INDIA,0,3,-99,LD,142.3,199.4,-29,D,20.11.2025,01.10.2025,20.11.2025
ASSAM,EAST & NORTH EAST INDIA,0,0.9,-100,NR,131.6,138.7,-5,N,20.11.2025,01.10.2025,20.11.2025
MEGHALAYA,EAST & NORTH EAST INDIA,0,0.3,-100,NR,194,281,-31,D,20.11.2025,01.10.2025,20.11.2025
NAGALAND,EAST & NORTH EAST INDIA,0,0.8,-100,NR,132.4,132.1,0,N,20.11.2025,01.10.2025,20.11.2025
MANIPUR,EAST & NORTH EAST INDIA,0,0.2,-100,NR,71.3,165.1,-57,D,20.11.2025,01.10.2025,20.11.2025
MIZORAM,EAST & NORTH EAST INDIA,0,0.5,-100,NR,185,229.9,-20,D,20.11.2025,01.10.2025,20.11.2025
TRIPURA,EAST & NORTH EAST INDIA,0,0.2,-100,NR,189.3,185.2,2,N,20.11.2025,01.10.2025,20.11.2025
SIKKIM,EAST & NORTH EAST INDIA,0,1.8,-100,NR,218.6,163,34,E,20.11.2025,01.10.2025,20.11.2025
WEST BENGAL,EAST & NORTH EAST INDIA,0,0.1,-100,NR,208.3,154.1,35,E,20.11.2025,01.10.2025,20.11.2025
JHARKHAND,EAST & NORTH EAST INDIA,0,0,-100,NR,107.6,80.7,33,E,20.11.2025,01.10.2025,20.11.2025
BIHAR,EAST & NORTH EAST INDIA,0,0.1,-100,NR,179.7,61,195,LE,20.11.2025,01.10.2025,20.11.2025
UTTAR PRADESH,NORTH WEST INDIA,0,0.1,-100,NR,67,30.5,120,LE,20.11.2025,01.10.2025,20.11.2025
UTTARAKHAND,NORTH WEST INDIA,0,0.2,-100,NR,42,35.4,19,N,20.11.2025,01.10.2025,20.11.2025
HARYANA,NORTH WEST INDIA,0,0.3,-100,NR,30.8,11.3,173,LE,20.11.2025,01.10.2025,20.11.2025
CHANDIGARH (UT),NORTH WEST INDIA,0,0.6,-100,NR,57.6,21.2,172,LE,20.11.2025,01.10.2025,20.11.2025
DELHI,NORTH WEST INDIA,0,0.1,-100,NR,73.3,14.6,402,LE,20.11.2025,01.10.2025,20.11.2025
PUNJAB,NORTH WEST INDIA,0,0.2,-100,NR,31.7,11.2,183,LE,20.11.2025,01.10.2025,20.11.2025
HIMACHAL PRADESH,NORTH WEST INDIA,0,0.6,-100,NR,69.7,36.3,92,LE,20.11.2025,01.10.2025,20.11.2025
JAMMU & KASHMIR(UT),NORTH WEST INDIA,0,0.9,-100,NR,64.5,55.8,16,N,20.11.2025,01.10.2025,20.11.2025
LADAKH(UT),NORTH WEST INDIA,0,0.1,-100,NR,1.6,4.7,-67,LD,20.11.2025,01.10.2025,20.11.2025
RAJASTHAN,NORTH WEST INDIA,0,0.2,-100,NR,58.6,14.3,310,LE,20.11.2025,01.10.2025,20.11.2025
ODISHA,CENTRAL INDIA,0,0.4,-100,NR,173.3,133,30,E,20.11.2025,01.10.2025,20.11.2025
MADHYA PRADESH,CENTRAL INDIA,0,0.2,-100,NR,74.5,38.9,92,LE,20.11.2025,01.10.2025,20.11.2025
GUJARAT,CENTRAL INDIA,0,0.2,-100,NR,97,27,259,LE,20.11.2025,01.10.2025,20.11.2025
DADRA & NAGAR HAVELI AND DAMAN & DIU (UT),CENTRAL INDIA,0,0.9,-100,NR,141.3,55.8,153,LE,20.11.2025,01.10.2025,20.11.2025
GOA,CENTRAL INDIA,0,0.3,-100,NR,424,190.1,123,LE,20.11.2025,01.10.2025,20.11.2025
MAHARASHTRA,CENTRAL INDIA,0,0.7,-100,NR,89.2,86.9,3,N,20.11.2025,01.10.2025,20.11.2025
CHHATISGARH,CENTRAL INDIA,0,0.5,-100,NR,108.4,68.1,59,E,20.11.2025,01.10.2025,20.11.2025
A & N ISLAND (UT),SOUTH PENINSULA,36.3,6.3,476,LE,430.8,451.8,-5,N,20.11.2025,01.10.2025,20.11.2025
ANDHRA PRADESH,SOUTH PENINSULA,0,2.5,-100,NR,303.8,239.6,27,E,20.11.2025,01.10.2025,20.11.2025
TELANGANA,SOUTH PENINSULA,0,0.5,-100,NR,178.7,115.4,55,E,20.11.2025,01.10.2025,20.11.2025
TAMILNADU,SOUTH PENINSULA,2.9,3.4,-14,N,284,301.5,-6,N,20.11.2025,01.10.2025,20.11.2025
PUDUCHERRY (UT),SOUTH PENINSULA,0.5,8.4,-94,LD,497.3,524.6,-5,N,20.11.2025,01.10.2025,20.11.2025
KARNATAKA,SOUTH PENINSULA,0,1,-100,NR,153.7,162.6,-5,N,20.11.2025,01.10.2025,20.11.2025
KERALA,SOUTH PENINSULA,2.8,3.2,-13,N,332.8,430.5,-23,D,20.11.2025,01.10.2025,20.11.2025
LAKSHADWEEP (UT),SOUTH PENINSULA,22.9,3.1,638,LE,310.2,236.8,31,E,20.11.2025,01.10.2025,20.11.2025
COUNTRY AS A WHOLE,ALL INDIA,0.2,0.7,-66,NR,123.8,97.7,27,E,20.11.2025,01.10.2025,20.11.2025
